"Hisse","Tarih","Adet","Tutar","Gerç.Fiyat","Komisyon","İşlem"
"TUPRS","13.04.2021","1","85,40","85,400","0,16","Hisse Alış"
"VESBE","22.04.2021","10","534,00","53,400","1,00","Hisse Alış"
"TUPRS","22.04.2021","5","429,50","85,900","0,81","Hisse Alış"
"VESBE","07.05.2021","10","501,00","50,100","0,94","Hisse Alış"
"TOASO","07.05.2021","18","514,44","28,580","0,97","Hisse Alış"
"ENJSA","07.05.2021","50","523,00","10,460","0,98","Hisse Alış"
"AKGRT","07.05.2021","70","547,40","7,820","1,03","Hisse Alış"
"BIMAS","07.05.2021","8","519,20","64,900","0,98","Hisse Alış"
"TKFEN","07.05.2021","30","483,00","16,100","0,91","Hisse Alış"
"TAVHL","07.05.2021","20","461,60","23,080","0,87","Hisse Alış"
"TKFEN","26.05.2021","30","459,30","15,310","0,86","Hisse Alış"
"BIMAS","26.05.2021","12","733,80","61,150","1,38","Hisse Alış"
"EREGL","26.05.2021","30","564,00","18,800","1,06","Hisse Alış"
"ENKAI","26.05.2021","60","515,40","8,590","0,97","Hisse Alış"
"TOASO","26.05.2021","12","327,60","27,300","0,62","Hisse Alış"
"AKSA","26.05.2021","30","486,55","16,218","0,91","Hisse Alış"
"VESBE","04.06.2021","5","241,30","48,260","0,45","Hisse Alış"
"TKFEN","04.06.2021","20","302,60","15,130","0,57","Hisse Alış"
"VESBE","12.07.2021","5","228,00","45,600","0,43","Hisse Alış"
"TKFEN","12.07.2021","20","292,80","14,640","0,55","Hisse Alış"
"EREGL","12.07.2021","30","545,40","18,180","1,02","Hisse Alış"
"VESBE","12.07.2021","5","228,00","45,600","0,43","Hisse Alış"
"ENJSA","12.07.2021","20","202,60","10,130","0,38","Hisse Alış"
"VESBE","28.07.2021","20","929,60","46,480","1,75","Hisse Alış"
"TKFEN","28.07.2021","70","988,40","14,120","1,86","Hisse Alış"
"TAVHL","28.07.2021","45","1002,60","22,280","1,88","Hisse Alış"
"SISE","04.08.2021","130","1017,90","7,830","1,91","Hisse Alış"
"TKFEN","04.08.2021","70","1005,20","14,360","1,89","Hisse Alış"
"VESBE","04.08.2021","25","1171,00","46,840","2,20","Hisse Alış"
"TAVHL","04.08.2021","40","887,20","22,180","1,67","Hisse Alış"
"EREGL","16.09.2021","120","2085,60","17,380","3,92","Hisse Alış"
"EREGL","20.09.2021","60","990,00","16,500","1,86","Hisse Alış"
"EREGL","04.10.2021","65","1070,55","16,470","2,01","Hisse Alış"
"SISE","05.10.2021","130","1062,10","8,170","2,00","Hisse Alış"
"VESBE","05.10.2021","20","956,80","47,840","1,80","Hisse Alış"
"BIMAS","05.10.2021","20","1247,00","62,350","2,34","Hisse Alış"
"EREGL","05.10.2021","60","974,40","16,240","1,83","Hisse Alış"
"AKGRT","04.11.2021","70","521,50","7,450","0,98","Hisse Satış"
"ENKAI","04.11.2021","60","658,80","10,980","1,24","Hisse Satış"
"BIMAS","25.11.2021","20","1377,00","68,850","2,59","Hisse Alış"
"SISE","25.11.2021","60","712,80","11,880","1,34","Hisse Alış"
"TAVHL","25.11.2021","25","741,00","29,640","1,39","Hisse Alış"
"BIMAS","30.11.2021","15","1045,50","69,700","1,97","Hisse Alış"
"BIMAS","02.12.2021","15","1048,50","69,900","1,97","Hisse Alış"
"TAVHL","02.12.2021","35","1036,00","29,600","1,95","Hisse Alış"
"EREGL","02.12.2021","45","1060,20","23,560","1,99","Hisse Alış"
"VESBE","02.12.2021","140","1048,60","7,490","1,97","Hisse Alış"
"SISE","09.12.2021","60","946,80","15,780","1,78","Hisse Alış"
"EREGL","21.12.2021","33","983,40","29,800","1,85","Hisse Alış"
"EREGL","23.12.2021","60","1521,60","25,360","2,86","Hisse Alış"
"BIMAS","03.01.2022","20","1278,00","63,900","2,40","Hisse Alış"
"VESBE","03.01.2022","212","1702,36","8,030","3,20","Hisse Alış"
"VESBE","02.02.2022","276","2003,76","7,260","3,77","Hisse Alış"
"EREGL","02.02.2022","72","1969,92","27,360","3,70","Hisse Alış"
"EREGL","14.02.2022","40","1132,00","28,300","2,13","Hisse Alış"
"VESBE","14.02.2022","150","1066,50","7,110","2,01","Hisse Alış"
"SISE","14.02.2022","80","1080,00","13,500","2,03","Hisse Alış"
"EREGL","14.02.2022","40","1115,20","27,880","2,10","Hisse Alış"
"VESBE","14.02.2022","150","1060,50","7,070","1,99","Hisse Alış"
"SISE","14.02.2022","80","1065,60","13,320","2,00","Hisse Alış"
"TAVHL","17.02.2022","55","2224,20","40,440","4,18","Hisse Alış"
"THYAO","17.02.2022","156","4636,32","29,720","8,72","Hisse Alış"
"EREGL","29.03.2022","85","2769,30","32,580","5,21","Hisse Alış"
"TKFEN","29.03.2022","50","1085,00","21,700","2,04","Hisse Satış"
"LIDER.HE","30.03.2022","77","1436,05","18,650","2,70","Hisse Alış"
"VESBE","05.04.2022","500","4105,00","8,210","7,72","Hisse Alış"
"EREGL","06.04.2022","175","5946,50","33,980","11,18","Hisse Alış"
"LIDER","07.04.2022","77","1441,44","18,720","2,71","Hisse Satış"
"TUPRS","07.04.2022","14","3334,80","238,200","6,27","Hisse Alış"
"ENJSA","11.04.2022","280","4401,60","15,720","8,28","Hisse Alış"
"EREGL","11.04.2022","100","3422,00","34,220","6,43","Hisse Alış"
"EREGL","18.04.2022","145","5086,60","35,080","9,56","Hisse Alış"
"TUPRS","18.04.2022","10","2610,00","261,000","4,91","Hisse Alış"
"AKSA","18.04.2022","20","964,00","48,200","1,81","Hisse Alış"
"AKSA","25.04.2022","2","92,16","46,080","0,17","Hisse Alış"
"TKFEN","28.04.2022","5","106,50","21,300","0,20","Hisse Alış"
"EREGL","28.04.2022","60","2025,60","33,760","3,81","Hisse Alış"
"SISE","02.06.2022","9","189,72","21,080","0,36","Hisse Alış"
"ENJSA","20.06.2022","350","4879,00","13,940","9,17","Hisse Satış"
"EREGL","20.06.2022","100","2748,00","27,480","5,17","Hisse Alış"
"EREGL","22.06.2022","80","2265,60","28,320","4,26","Hisse Alış"
"VESBE","05.07.2022","102","890,46","8,730","1,67","Hisse Alış"
"Alışlar Toplamı","","","99550,68","","",""
"Satışlar Toplamı","","","8569,60","","",""